rank,SMILES,predicted_affinity,true_affinity
1,O=C(CCCCCCCNc1c2c(nc3cc(Cl)cc(Cl)c13)CCCC2)NCCc1c[nH]c2ccccc12,12.767909049987791,14.301030158996582
2,COc1cccc2c1CCCC2NS(=O)(=O)NC(=O)OCc1ccccc1,12.388416290283203,9.68000030517578
3,O=C(CCCCCCCNc1c2c(nc3ccccc13)CCCC2)NCCc1c[nH]c2ccccc12,12.211691856384276,14.301030158996582
4,COc1ccc2[nH]cc(CCNC(=O)CCCCCCCNc3c4c(nc5ccccc35)CCCC4)c2c1,12.149395942687988,14.301030158996582
5,O=C(CCCCCCCNc1c2c(nc3ccccc13)CCCC2)NCCc1c[nH]c2ccc(O)cc12,11.947636604309082,14.301030158996582
