Model,Split,RMSE,MAE,R2,Pearson,Spearman
GNN (gcn),val,1.0819129828134655,0.8808495065254198,0.2558386478514817,0.5241166401173929,0.4805003389177032
GNN (gcn),test,1.3199010460431908,1.0309581638243224,0.1823706949341447,0.5127836408930755,0.5150754000607211
