Model,Split,RMSE,MAE,R2,Pearson,Spearman
GNN (gcn),val,1.0072469267649011,0.7304226831494571,0.6264569001531411,0.795536179119901,0.7730149103635335
GNN (gcn),test,1.0795076167255653,0.7687870371308956,0.5267135494546691,0.7411264185269582,0.7496624405277705
