rank,SMILES,predicted_affinity,true_affinity
1,O=C(CCCCCCCNc1c2c(nc3ccccc13)CCCC2)NCCc1c[nH]c2ccccc12,12.084771156311035,14.301030158996582
2,COc1ccc2[nH]cc(CCNC(=O)CCCCCCCNc3c4c(nc5ccccc35)CCCC4)c2c1,12.023333549499512,14.301030158996582
3,O=C(CCCCCCCNc1c2c(nc3cc(Cl)cc(Cl)c13)CCCC2)NCCc1c[nH]c2ccccc12,11.536480903625488,14.301030158996582
4,O=C(CCCCCCCNc1c2c(nc3ccccc13)CCCC2)NCCc1c[nH]c2ccc(O)cc12,11.11744499206543,14.301030158996582
5,COc1cccc2c1CCCC2NS(=O)(=O)NC(=O)OCc1ccccc1,9.745238304138184,9.68000030517578
