Model,Split,RMSE,MAE,R2,Pearson,Spearman
GNN (gat),val,0.7246808103447848,0.5548262021890501,0.5983042176295155,0.7805415467227719,0.7427662944321557
GNN (gat),test,0.9432869939362567,0.7286539778989904,0.24106150760989864,0.59327872255939,0.5570129011388716
