Split,RMSE,MAE,R2,Pearson,Spearman
val,0.768681039380211,0.5768083035945892,0.5480440724422349,0.7658943415129538,0.740113924931717
test,0.9743346024863223,0.7382250810186192,0.19027948977316,0.504018530133253,0.4708365488938139
