rank,SMILES,predicted_affinity,true_affinity
1,Cc1c(N[C@@H]2CCC[C@]2(C)O)ccc(C#N)c1Cl,9.389676094055176,9.170000076293944
2,Cc1c(N[C@@H]2CCC[C@@]2(C)O)ccc(C#N)c1Cl,9.389676094055176,8.6899995803833
3,Cc1c(N[C@@H]2COC[C@@]2(C)O)ccc(C#N)c1Cl,9.32286262512207,8.279999732971191
4,Cc1c(N[C@@H]2CCCC[C@@]2(C)O)ccc(C#N)c1Cl,8.967194557189941,7.769999980926514
5,CC1=C(c2ccc(C#N)c(Cl)c2C)C(=O)N2CC[C@H](O)[C@@H]12,8.678376197814941,9.300000190734863
