Model,Split,RMSE,MAE,R2,Pearson,Spearman
GNN (pna),val,1.047988265956351,0.7280168885714839,0.5956274595297745,0.7739043936726292,0.7425164321812147
GNN (pna),test,1.008434422941558,0.756347700380362,0.5869829566525023,0.7712378546623924,0.76363306013037
