rank,SMILES,predicted_affinity,true_affinity
1,O=C(CCCCCCCNc1c2c(nc3cc(Cl)cc(Cl)c13)CCCC2)NCCc1c[nH]c2ccccc12,12.421631813049316,14.301030158996582
2,O=C(CCCCCCCNc1c2c(nc3ccccc13)CCCC2)NCCc1c[nH]c2ccccc12,12.379075050354004,14.301030158996582
3,COc1ccc2[nH]cc(CCNC(=O)CCCCCCCNc3c4c(nc5ccccc35)CCCC4)c2c1,12.174860954284668,14.301030158996582
4,O=C(CCCCCCCNc1c2c(nc3ccccc13)CCCC2)NCCc1c[nH]c2ccc(O)cc12,11.814982414245604,14.301030158996582
5,COc1cccc2c1CCCC2NS(=O)(=O)NC(=O)OCc1ccccc1,10.708044052124023,9.68000030517578
