rank,SMILES,predicted_affinity,true_affinity
1,O=C(CCCCCCCNc1c2c(nc3ccccc13)CCCC2)NCCc1c[nH]c2ccccc12,13.125670433044434,14.301030158996582
2,COc1ccc2[nH]cc(CCNC(=O)CCCCCCCNc3c4c(nc5ccccc35)CCCC4)c2c1,12.842121124267578,14.301030158996582
3,O=C(CCCCCCCNc1c2c(nc3cc(Cl)cc(Cl)c13)CCCC2)NCCc1c[nH]c2ccccc12,12.836464881896973,14.301030158996582
4,O=C(CCCCCCCNc1c2c(nc3ccccc13)CCCC2)NCCc1c[nH]c2ccc(O)cc12,11.77810287475586,14.301030158996582
5,O=C(CCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)NC12CC3CC(F)(CC(C1)c1ccccc13)C2,10.190845489501951,8.890000343322754
