Phase,Wall-clock (s),Per-epoch (s),Epochs,dRAM (MiB),Peak GPU (MiB)
Hpo,10797.0,---,---,1037.3,156.5
Gnn Training,48.97,0.49,100,34.0,127.5
Embedding Extraction,4.17,---,---,13.6,129.0
