molecule_chembl_id,smiles
CHEMBL100091,CCCCOCCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12
CHEMBL100092,CCCCCCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12
CHEMBL100156,CS(=O)(=O)c1ccc(-c2cscc2-c2ccccc2)cc1
CHEMBL100250,CS(=O)(=O)c1ccc(-c2ccsc2-c2ccccc2)cc1
CHEMBL100331,CCCCCCCCNC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12
CHEMBL10042,CS(=O)(=O)c1ccc(-c2cc(Cl)cnc2-c2ccc(CO)nc2)cc1
CHEMBL100422,COc1ccc(-c2cscc2-c2ccc(S(C)(=O)=O)cc2)cc1F
CHEMBL101,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
CHEMBL101459,CS(=O)(=O)c1ccc(-c2cc(CC#N)sc2-c2ccc(F)cc2)cc1
CHEMBL101503,CS(=O)(=O)c1ccc(-c2ccccc2-c2ccccc2)cc1
CHEMBL1020,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1
CHEMBL102223,[N-]=[N+]=Nc1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1
CHEMBL102243,Cc1c(O)c(C)c2sc(NCc3cccnc3)nc2c1C
CHEMBL1030,O=C(O)Cc1ccccc1Nc1c(Cl)cc(O)cc1Cl
CHEMBL1031,O=C(O)Cc1cc(O)ccc1Nc1c(Cl)cccc1Cl
CHEMBL1032,O=C(O)Cc1cc(O)ccc1Nc1c(Cl)cc(O)cc1Cl
CHEMBL1033,COc1cc(Cl)c(Nc2ccccc2CC(=O)O)c(Cl)c1O
CHEMBL1034,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+]
CHEMBL10345,CC(C)OC1=C(c2ccc(S(C)(=O)=O)cc2)C(C)(C)OC1=O
CHEMBL1035,O=C(O)Cc1ccccc1Nc1c(Cl)ccc(O)c1Cl
CHEMBL104,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
CHEMBL104009,CCOc1cccc(-c2ccc(C(C)C(=O)O)cc2F)c1
CHEMBL104147,CCOc1cc(OCC)cc(-c2ccc(C(C)C(=O)O)cc2)c1
CHEMBL104156,CCc1c(O)c(OC)c(Cc2cccnc2)c2nc(NC)sc12
CHEMBL104336,C/C=C/c1cncc(-c2ccc(C(C)C(=O)O)cc2)c1
CHEMBL104422,Cc1cc(C)cc(-c2ccc(C(C)C(=O)O)cc2F)c1
CHEMBL104502,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(N=[N+]=[N-])cc2)cc1
CHEMBL104592,CC(C(=O)O)c1ccc(-c2ccc3[nH]ccc3c2)cc1
CHEMBL105139,CNc1nc2c(Cc3cccnc3)c(C)c(O)c(C)c2s1
CHEMBL105350,O=C(/C=C/c1ccc(O)cc1)CC(=O)/C=C/c1ccc(O)cc1
CHEMBL105386,CCNc1nc2c(C)c(C)c(O)c(Cc3cccnc3)c2s1
CHEMBL105587,CCNc1nc2c(C)c(Cc3cccnc3)c(O)c(C)c2s1
CHEMBL105766,Cc1cncc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)c1
CHEMBL106023,NS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cncc(Br)c2)cc1
CHEMBL106151,COc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cn1
CHEMBL106192,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2nccc3ccccc23)cc1
CHEMBL106203,CCc1cccc(-c2ccc(C(C)C(=O)O)cc2)c1
CHEMBL106255,CC1(C)OC(=O)C(Oc2ccncc2)=C1c1ccc(S(C)(=O)=O)cc1
CHEMBL106302,CC1(C)OC(=O)C(Oc2cc(F)cc(F)c2)=C1c1ccc(S(C)(=O)=O)cc1
CHEMBL106445,Cc1cc2cc(-c3ccc(C(C)C(=O)O)cc3)ccc2[nH]1
CHEMBL106828,C=Cc1cncc(-c2ccc(C(C)C(=O)O)cc2)c1
CHEMBL107088,Cc1ccc(OC2=C(c3ccc(S(C)(=O)=O)cc3)C(C)(C)OC2=O)cc1
CHEMBL1071,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1
CHEMBL1075636,O=S(=O)(Nc1ccncc1Nc1ccccc1Cl)C(F)(F)F
CHEMBL107600,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2ccccn2)cc1
CHEMBL1076742,O=C(Nc1ccc(-c2ccccc2)cc1)C1=C(O)c2ccccc2S(=O)(=O)N1
CHEMBL1076751,Cc1cccc(-c2ccc(NC(=O)C3=C(O)c4ccccc4S(=O)(=O)N3)cc2)c1C
CHEMBL1077,Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1
CHEMBL107706,CC1(C)OC(=O)C(Oc2ccc(F)cn2)=C1c1ccc(S(C)(=O)=O)cc1
CHEMBL1077388,O=S(=O)(Nc1ccncc1Nc1cccc(Cl)c1)C(F)(F)F
CHEMBL1077398,CS(=O)(=O)Nc1ccncc1Nc1ccc(Cl)cc1
CHEMBL1077403,Cc1cccc(Nc2cnccc2NS(=O)(=O)C(F)(F)F)c1
CHEMBL1077436,CS(=O)(=O)Nc1ccncc1NC1CCCC1
CHEMBL1077442,COc1ccccc1Nc1cnccc1NS(C)(=O)=O
CHEMBL1078090,CS(=O)(=O)Nc1ccncc1Nc1cccc(Cl)c1
CHEMBL1078091,CS(=O)(=O)Nc1ccncc1Nc1cccc(Br)c1
CHEMBL1078373,CS(=O)(=O)Nc1ccncc1Nc1ccc(Br)cc1
CHEMBL1078374,Cc1ccccc1Nc1cnccc1NS(C)(=O)=O
CHEMBL1078375,Cc1cccc(Nc2cnccc2NS(C)(=O)=O)c1
CHEMBL1078376,Cc1ccc(Nc2cnccc2NS(C)(=O)=O)cc1
CHEMBL1078377,CCc1ccccc1Nc1cnccc1NS(C)(=O)=O
CHEMBL1078378,CCc1cccc(Nc2cnccc2NS(C)(=O)=O)c1
CHEMBL1078557,CCc1ccc(Nc2cnccc2NS(C)(=O)=O)cc1
CHEMBL1078682,COc1cccc(Nc2cnccc2NS(C)(=O)=O)c1
CHEMBL1078683,COc1ccc(Nc2cnccc2NS(C)(=O)=O)cc1
CHEMBL1078860,O=S(=O)(Nc1ccncc1NC1CCCC1)C(F)(F)F
CHEMBL1079073,O=S(=O)(Nc1ccncc1NC1CCCCCC1)C(F)(F)F
CHEMBL1079074,O=S(=O)(CCC(F)(F)F)Nc1ccncc1Nc1ccccc1
CHEMBL1079333,O=S(=O)(Nc1ccncc1Nc1ccc(Cl)cc1)C(F)(F)F
CHEMBL1079335,O=S(=O)(Nc1ccncc1Nc1cccc(Br)c1)C(F)(F)F
CHEMBL107938,CCSc1cccc(-c2ccc(C(C)C(=O)O)cc2)c1
CHEMBL107953,CCOc1cc(OCC)cc(-c2ccc(C(C)C(=O)O)cc2F)c1
CHEMBL1079875,COc1cccc(Nc2cnccc2NS(=O)(=O)C(F)(F)F)c1
CHEMBL1079876,COc1ccc(Nc2cnccc2NS(=O)(=O)C(F)(F)F)cc1
CHEMBL1079877,CS(=O)(=O)Nc1ccncc1Nc1ccccc1
CHEMBL1079878,CS(=O)(=O)Nc1ccncc1Nc1ccccc1Cl
CHEMBL1080231,Cc1ccc(Nc2cnccc2NS(=O)(=O)C(F)(F)F)cc1
CHEMBL1080404,CCc1ccccc1Nc1cnccc1NS(=O)(=O)C(F)(F)F
CHEMBL1080405,CCc1cccc(Nc2cnccc2NS(=O)(=O)C(F)(F)F)c1
CHEMBL1080406,CCc1ccc(Nc2cnccc2NS(=O)(=O)C(F)(F)F)cc1
CHEMBL1080407,COc1ccccc1Nc1cnccc1NS(=O)(=O)C(F)(F)F
CHEMBL1080552,O=C(Nc1ccc(-c2ccc(Cl)c(Cl)c2)cc1)C1NS(=O)(=O)c2ccccc2C1O
CHEMBL1080553,O=C(CNS(=O)(=O)c1ccccc1C(=O)O)Nc1ccc(-c2ccc(Cl)c(Cl)c2)cc1
CHEMBL1080852,COc1ccc2c(c1)C(O)=C(C(=O)Nc1ccc(-c3ccc(Cl)c(Cl)c3)cc1)NS2(=O)=O
CHEMBL1080853,O=C(Nc1ccc(-c2ccc(Cl)c(Cl)c2)cc1)C1=C(O)c2cc(O)ccc2S(=O)(=O)N1
CHEMBL1081855,O=S(=O)(Nc1ccncc1Nc1ccc(Br)cc1)C(F)(F)F
CHEMBL1081856,Cc1ccccc1Nc1cnccc1NS(=O)(=O)C(F)(F)F
CHEMBL108201,COc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CCC2)cc1
CHEMBL1082015,O=C(Nc1ccc(-c2ccc(Cl)c(Cl)c2)nc1)C1=C(O)c2ccccc2S(=O)(=O)N1
CHEMBL1082723,C[C@H]1Cc2c([nH]c3cc(Cl)c(F)cc23)[C@@]2(N1)C(=O)Nc1ccc(Cl)cc12
CHEMBL108281,CC(C)c1cccc(-c2ccc(C(C)C(=O)O)cc2F)c1
CHEMBL1084,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2O)cc1
CHEMBL108452,NS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccnc2)cc1
CHEMBL108512,CC1(C)OC(=O)C(Oc2ccc3sccc3c2)=C1c1ccc(S(C)(=O)=O)cc1
CHEMBL1086610,O=C(Nc1ccc(CCc2ccc(Cl)c(Cl)c2)cc1)C1=C(O)c2ccccc2S(=O)(=O)N1
CHEMBL1086611,O=C(Nc1ccc(-c2ccc(Cl)cc2)cc1)C1=C(O)c2ccccc2S(=O)(=O)N1
CHEMBL1086612,O=C(Nc1ccc(Oc2ccc(Cl)cc2)cc1)C1=C(O)c2ccccc2S(=O)(=O)N1
CHEMBL1086757,O=C(Nc1ccc(-c2cccc(Cl)c2Cl)cc1)C1=C(O)c2ccccc2S(=O)(=O)N1
CHEMBL1086883,O=C(Nc1ccc(-c2ccc(Cl)cc2Cl)cc1)C1=C(O)c2ccccc2S(=O)(=O)N1
CHEMBL1086884,Cc1ccc(-c2ccc(NC(=O)C3=C(O)c4ccccc4S(=O)(=O)N3)cc2)cc1C
CHEMBL1087143,Cc1ccc(-c2ccc(NC(=O)C3=C(O)c4ccccc4S(=O)(=O)N3)cc2)cc1
CHEMBL1087254,O=C(Nc1ccccc1CCc1ccc(Cl)c(Cl)c1)C1=C(O)c2ccccc2S(=O)(=O)C1
CHEMBL1087267,O=C(Nc1ccc(-c2ccc(Cl)c(Cl)c2)cc1)C1=C(O)c2ccccc2S(=O)(=O)N1
CHEMBL108802,CC1(C)OC(=O)C(Cc2ccccc2)=C1c1ccc(S(C)(=O)=O)cc1
CHEMBL1088299,O=C(Nc1ccc(Nc2ccc(Cl)cc2)cc1)C1=C(O)c2ccccc2S(=O)(=O)N1
CHEMBL1088300,O=C(Nc1ccc(C(=O)c2ccc(Cl)cc2)c(Cl)c1)C1=C(O)c2ccccc2S(=O)(=O)N1
CHEMBL1088301,O=C(Nc1cccc(C(=O)c2ccc(Cl)cc2)c1)C1=C(O)c2ccccc2S(=O)(=O)N1
CHEMBL1088302,O=C(Nc1ccc(-c2cccc(Cl)c2)cc1)C1=C(O)c2ccccc2S(=O)(=O)N1
CHEMBL108857,CC1(C)OC(=O)C(Oc2cccc(Cl)n2)=C1c1ccc(S(C)(=O)=O)cc1
CHEMBL108917,CC1(C)OC(=O)C(Oc2ccc(C3CC3)cn2)=C1c1ccc(S(C)(=O)=O)cc1
CHEMBL108936,Cc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)cn1
CHEMBL108961,Cc1ccnc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)c1
CHEMBL108975,CS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)cc3Cl)CCC2)cc1
CHEMBL108978,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cc3ccccc3cn2)cc1
CHEMBL1089958,O=C(O)Cc1cccn(C(F)F)c1=O
CHEMBL1089959,O=C(O)Cc1ccn(C(F)F)c(=O)c1
CHEMBL109017,Cc1csc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)n1
CHEMBL109030,CS(=O)(=O)c1ccc(C2=C(c3ccc(C(F)(F)F)cc3)CCC2)cc1
CHEMBL109047,Cc1ccccc1OC1=C(c2ccc(S(C)(=O)=O)cc2)C(C)(C)OC1=O
CHEMBL109143,Cc1nc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)cs1
CHEMBL109177,CC1(C)OC(=O)C(Oc2ccccc2)=C1c1ccc(S(C)(=O)=O)cc1
CHEMBL1092135,O=C(O)Cc1ccc(=O)n(C(F)F)c1
CHEMBL1092136,CC(C(=O)O)c1cccn(C(F)F)c1=O
CHEMBL1092137,CC(C(=O)O)c1ccn(C(F)F)c(=O)c1
CHEMBL1092138,CC(C(=O)O)c1ccc(=O)n(C(F)F)c1
CHEMBL109341,COc1cc(/C=C/C(=O)O)cc(OC)c1O
CHEMBL109486,COCc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CCC2)cc1
CHEMBL1095380,O=C(O)c1cc(/C=C/c2ccc(O)cc2)ccc1O
CHEMBL109578,CS(=O)(=O)c1ccc(C2=C(c3ccc(CO)cc3)CCC2)cc1
CHEMBL109623,CN(C)c1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CCC2)cc1Cl
CHEMBL110145,Cc1ncccc1-c1nc(C(F)(F)F)cn1-c1ccc(S(N)(=O)=O)cc1
CHEMBL110331,Cc1cccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)n1
CHEMBL110382,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cc(Br)cs2)cc1
CHEMBL110392,Cc1cccc(OC2=C(c3ccc(S(C)(=O)=O)cc3)C(C)(C)OC2=O)c1
CHEMBL110396,CCOC(=O)c1cn(-c2ccc(S(C)(=O)=O)cc2)c(-c2cccnc2)n1
CHEMBL110401,CC1(C)OC(=O)C(Oc2ccc(F)c(F)c2)=C1c1ccc(S(C)(=O)=O)cc1
CHEMBL110418,CS(=O)(=O)c1ccc(-c2cc3c(cc2-c2ccc(F)cc2)COC3)cc1
CHEMBL110446,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cnc3ccccc3c2)cc1
CHEMBL110448,Cc1cn(-c2ccc(S(C)(=O)=O)cc2)c(-c2cccnc2)n1
CHEMBL110462,CS(=O)(=O)c1ccc(-n2cc(CO)nc2-c2cccnc2)cc1
CHEMBL110514,CC1(C)OC(=O)C(Oc2cccnc2)=C1c1ccc(S(C)(=O)=O)cc1
CHEMBL110574,Cc1ncccc1-c1nc(C(F)(F)F)cn1-c1ccc(S(C)(=O)=O)cc1
CHEMBL110612,Cc1ccncc1-c1cc(F)c(F)cc1-c1ccc(S(C)(=O)=O)cc1
CHEMBL110660,Cc1cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)no1
CHEMBL110822,CC1(C)OC(=O)C(Oc2ccccn2)=C1c1ccc(S(C)(=O)=O)cc1
CHEMBL110824,CC1(C)OC(=O)C(Oc2ncc(Cl)cc2Cl)=C1c1ccc(S(C)(=O)=O)cc1
CHEMBL110836,CC1(C)OC(=O)C(Oc2ccc(F)cc2F)=C1c1ccc(S(C)(=O)=O)cc1
CHEMBL110846,NS(=O)(=O)c1ccc(C2=C(c3ccc(C(F)(F)F)c(F)c3)CCC2)cc1
CHEMBL110876,Cc1ccsc1-c1nc(C(F)(F)F)cn1-c1ccc(S(C)(=O)=O)cc1
CHEMBL111039,CSc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CCC2)cc1
CHEMBL111045,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC(C(F)(F)F)(C(F)(F)F)C2)cc1
CHEMBL111057,NS(=O)(=O)c1ccc(C2=C(c3ccc(C(F)(F)F)cc3)CCC2)cc1
CHEMBL111095,COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CCC2)cc1Cl
CHEMBL111314,COc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CCC2)cc1F
